time,x,y,z,class
2016-04-28 13:37:22.857,-1.71875,-0.375,-0.703125,downstairs
2016-04-28 13:37:22.868,-2.015625,-1.359375,0.1875,downstairs
2016-04-28 13:37:22.878,-2.40625,-1.953125,0.328125,downstairs
2016-04-28 13:37:22.888,-2.140625,-0.921875,-0.859375,downstairs
2016-04-28 13:37:22.898,-1.453125,0.15625,-0.609375,downstairs
2016-04-28 13:37:22.909,-1.09375,0.796875,-0.203125,downstairs
2016-04-28 13:37:22.919,-1.328125,0.796875,0.25,downstairs
2016-04-28 13:37:22.929,-1.5625,0.296875,-0.65625,downstairs
2016-04-28 13:37:22.939,-1.4375,0.25,-1.03125,downstairs
2016-04-28 13:37:22.950,-1.046875,0.015625,0.625,downstairs
2016-04-28 13:37:22.960,-0.8125,-0.28125,0.34375,downstairs
2016-04-28 13:37:22.970,-0.734375,-0.609375,-0.46875,downstairs
2016-04-28 13:37:22.980,-0.703125,-0.84375,-0.171875,downstairs
2016-04-28 13:37:22.991,-0.921875,-0.828125,0.046875,downstairs
2016-04-28 13:37:23.001,-1.203125,-0.640625,-0.0625,downstairs
2016-04-28 13:37:23.012,-1.359375,-0.453125,-0.15625,downstairs
2016-04-28 13:37:23.022,-1.359375,-0.28125,-0.171875,downstairs
2016-04-28 13:37:23.032,-1.265625,-0.109375,-0.1875,downstairs
2016-04-28 13:37:23.042,-1.171875,-0.015625,-0.328125,downstairs
2016-04-28 13:37:23.053,-1.09375,-0.015625,-0.375,downstairs
2016-04-28 13:37:23.063,-1.0,-0.078125,-0.328125,downstairs
2016-04-28 13:37:23.073,-0.890625,-0.09375,-0.265625,downstairs
2016-04-28 13:37:23.084,-0.828125,-0.09375,-0.265625,downstairs
2016-04-28 13:37:23.094,-0.8125,-0.109375,-0.265625,downstairs
2016-04-28 13:37:23.104,-0.84375,-0.109375,-0.265625,downstairs
2016-04-28 13:37:23.115,-0.890625,-0.109375,-0.25,downstairs
2016-04-28 13:37:23.125,-0.9375,-0.09375,-0.265625,downstairs
2016-04-28 13:37:23.135,-0.9375,-0.0625,-0.25,downstairs
2016-04-28 13:37:23.146,-0.90625,-0.046875,-0.234375,downstairs
2016-04-28 13:37:23.156,-0.859375,-0.0625,-0.265625,downstairs
2016-04-28 13:37:23.166,-0.84375,-0.03125,-0.28125,downstairs
2016-04-28 13:37:23.177,-0.8125,0.0,-0.296875,downstairs
2016-04-28 13:37:23.187,-0.765625,0.0,-0.328125,downstairs
2016-04-28 13:37:23.197,-0.75,-0.03125,-0.328125,downstairs
2016-04-28 13:37:23.208,-0.6875,-0.03125,-0.25,downstairs
2016-04-28 13:37:23.218,-0.625,-0.015625,-0.453125,downstairs
2016-04-28 13:37:23.229,-0.53125,0.015625,-0.53125,downstairs
2016-04-28 13:37:23.239,-0.515625,0.140625,-0.546875,downstairs
2016-04-28 13:37:23.249,-0.5,0.25,-0.390625,downstairs
2016-04-28 13:37:23.260,-0.5,0.1875,-0.265625,downstairs
2016-04-28 13:37:23.270,-0.515625,0.109375,-0.40625,downstairs
2016-04-28 13:37:23.280,-0.578125,-0.03125,-0.40625,downstairs
2016-04-28 13:37:23.291,-0.6875,-0.21875,-0.328125,downstairs
2016-04-28 13:37:23.301,-0.765625,-0.296875,-0.3125,downstairs
2016-04-28 13:37:23.311,-0.84375,-0.265625,-0.5,downstairs
2016-04-28 13:37:23.322,-0.875,-0.171875,-0.4375,downstairs
2016-04-28 13:37:23.332,-0.828125,-0.078125,-0.34375,downstairs
2016-04-28 13:37:23.342,-0.796875,-0.125,-0.375,downstairs
2016-04-28 13:37:23.353,-0.78125,-0.25,-0.453125,downstairs
2016-04-28 13:37:23.363,-0.921875,-0.34375,-0.6875,downstairs
2016-04-28 13:37:23.373,-1.140625,-0.359375,-0.796875,downstairs
2016-04-28 13:37:23.384,-1.421875,-0.359375,-0.9375,downstairs
2016-04-28 13:37:23.394,-1.65625,-0.390625,-1.046875,downstairs
2016-04-28 13:37:23.404,-1.890625,-0.453125,-0.984375,downstairs
2016-04-28 13:37:23.415,-2.046875,-0.53125,-0.828125,downstairs
2016-04-28 13:37:23.425,-2.046875,-0.453125,-0.734375,downstairs
2016-04-28 13:37:23.435,-1.90625,-0.28125,-0.59375,downstairs
2016-04-28 13:37:23.445,-1.671875,-0.140625,-0.453125,downstairs
2016-04-28 13:37:23.456,-1.53125,0.078125,-0.375,downstairs
2016-04-28 13:37:23.466,-1.515625,0.28125,-0.328125,downstairs
2016-04-28 13:37:23.476,-1.46875,0.359375,-0.15625,downstairs
2016-04-28 13:37:23.487,-1.28125,0.234375,-0.109375,downstairs
2016-04-28 13:37:23.497,-1.046875,0.0,-0.25,downstairs
2016-04-28 13:37:23.507,-0.796875,-0.046875,-0.296875,downstairs
2016-04-28 13:37:23.518,-0.609375,0.015625,-0.34375,downstairs
2016-04-28 13:37:23.528,-0.546875,0.09375,-0.484375,downstairs
2016-04-28 13:37:23.538,-0.609375,0.09375,-0.4375,downstairs
2016-04-28 13:37:23.549,-0.6875,0.09375,-0.328125,downstairs
2016-04-28 13:37:23.559,-0.6875,0.140625,-0.265625,downstairs
2016-04-28 13:37:23.569,-0.609375,0.1875,-0.21875,downstairs
2016-04-28 13:37:23.580,-0.484375,0.15625,-0.125,downstairs
2016-04-28 13:37:23.590,-0.328125,0.09375,-0.046875,downstairs
2016-04-28 13:37:23.600,-0.234375,0.078125,-0.046875,downstairs
2016-04-28 13:37:23.611,-0.265625,0.03125,-0.109375,downstairs
2016-04-28 13:37:23.621,-0.359375,0.0625,-0.1875,downstairs
2016-04-28 13:37:23.632,-0.359375,0.15625,-0.296875,downstairs
2016-04-28 13:37:23.642,-0.359375,0.28125,-0.015625,downstairs
2016-04-28 13:37:23.652,-0.34375,0.40625,-0.203125,downstairs
2016-04-28 13:37:23.663,-0.25,0.453125,-0.078125,downstairs
2016-04-28 13:37:23.673,-0.171875,0.390625,-0.03125,downstairs
2016-04-28 13:37:23.683,-0.15625,0.34375,-0.03125,downstairs
2016-04-28 13:37:23.694,-0.125,0.3125,-0.03125,downstairs
2016-04-28 13:37:23.704,-0.0625,0.1875,-0.09375,downstairs
2016-04-28 13:37:23.714,-0.140625,-0.0625,-0.046875,downstairs
2016-04-28 13:37:23.725,-0.421875,-0.25,-0.015625,downstairs
2016-04-28 13:37:23.735,-0.828125,-0.3125,-0.09375,downstairs
2016-04-28 13:37:23.745,-1.28125,-0.375,-0.359375,downstairs
2016-04-28 13:37:23.756,-1.828125,-0.515625,-0.671875,downstairs
2016-04-28 13:37:23.766,-2.3125,-0.515625,-0.921875,downstairs
2016-04-28 13:37:23.776,-2.265625,-0.15625,-1.125,downstairs
2016-04-28 13:37:23.787,-1.796875,0.25,-1.34375,downstairs
2016-04-28 13:37:23.797,-1.109375,0.390625,-1.5625,downstairs
2016-04-28 13:37:23.807,-0.484375,0.3125,-1.578125,downstairs
2016-04-28 13:37:23.818,-0.109375,0.296875,-1.0,downstairs
2016-04-28 13:37:23.828,-0.21875,0.359375,0.546875,downstairs
2016-04-28 13:37:23.838,-0.765625,0.484375,1.203125,downstairs
2016-04-28 13:37:23.848,-1.421875,0.609375,0.75,downstairs
2016-04-28 13:37:23.859,-1.890625,-0.40625,0.96875,downstairs
2016-04-28 13:37:23.869,-3.140625,-2.25,-0.3125,downstairs
2016-04-28 13:37:23.880,-3.0625,-2.046875,-1.21875,downstairs
2016-04-28 13:37:23.890,-1.546875,-0.328125,-0.515625,downstairs
2016-04-28 13:37:23.900,-0.875,0.625,0.078125,downstairs
2016-04-28 13:37:23.910,-0.78125,1.078125,0.875,downstairs
2016-04-28 13:37:23.921,-1.03125,1.046875,-0.671875,downstairs
2016-04-28 13:37:23.931,-1.28125,0.53125,-1.25,downstairs
2016-04-28 13:37:23.941,-1.40625,-0.15625,0.078125,downstairs
2016-04-28 13:37:23.952,-1.46875,-0.65625,0.046875,downstairs
2016-04-28 13:37:23.962,-1.359375,-0.96875,-0.515625,downstairs
2016-04-28 13:37:23.972,-1.125,-0.984375,-0.21875,downstairs
2016-04-28 13:37:23.983,-0.921875,-0.6875,-0.03125,downstairs
2016-04-28 13:37:23.993,-0.890625,-0.375,-0.171875,downstairs
2016-04-28 13:37:24.003,-0.90625,-0.125,-0.21875,downstairs
2016-04-28 13:37:24.014,-1.0,-0.015625,-0.15625,downstairs
2016-04-28 13:37:24.024,-1.15625,-0.046875,-0.234375,downstairs
2016-04-28 13:37:24.034,-1.25,-0.078125,-0.25,downstairs
2016-04-28 13:37:24.045,-1.171875,-0.078125,-0.265625,downstairs
2016-04-28 13:37:24.055,-1.03125,-0.09375,-0.328125,downstairs
2016-04-28 13:37:24.065,-0.890625,-0.078125,-0.3125,downstairs
2016-04-28 13:37:24.076,-0.796875,-0.09375,-0.28125,downstairs
2016-04-28 13:37:24.086,-0.765625,-0.09375,-0.28125,downstairs
2016-04-28 13:37:24.097,-0.75,-0.046875,-0.25,downstairs
2016-04-28 13:37:24.107,-0.75,0.0,-0.25,downstairs
2016-04-28 13:37:24.117,-0.734375,0.015625,-0.265625,downstairs
2016-04-28 13:37:24.128,-0.75,0.0,-0.28125,downstairs
2016-04-28 13:37:24.138,-0.75,-0.03125,-0.375,downstairs
2016-04-28 13:37:24.148,-0.765625,-0.09375,-0.390625,downstairs
2016-04-28 13:37:24.159,-0.734375,-0.15625,-0.421875,downstairs
2016-04-28 13:37:24.169,-0.671875,-0.171875,-0.46875,downstairs
2016-04-28 13:37:24.179,-0.609375,-0.125,-0.5,downstairs
2016-04-28 13:37:24.190,-0.5625,-0.03125,-0.453125,downstairs
2016-04-28 13:37:24.200,-0.5,0.015625,-0.4375,downstairs
2016-04-28 13:37:24.210,-0.5,0.0625,-0.296875,downstairs
2016-04-28 13:37:24.220,-0.53125,0.046875,-0.28125,downstairs
2016-04-28 13:37:24.230,-0.515625,-0.03125,-0.265625,downstairs
2016-04-28 13:37:24.241,-0.546875,-0.140625,-0.34375,downstairs
2016-04-28 13:37:24.251,-0.640625,-0.140625,-0.359375,downstairs
2016-04-28 13:37:24.261,-0.71875,-0.109375,-0.390625,downstairs
2016-04-28 13:37:24.271,-0.78125,-0.09375,-0.34375,downstairs
2016-04-28 13:37:24.282,-0.828125,-0.140625,-0.390625,downstairs
2016-04-28 13:37:24.292,-0.859375,-0.203125,-0.359375,downstairs
2016-04-28 13:37:24.302,-0.875,-0.21875,-0.515625,downstairs
2016-04-28 13:37:24.312,-0.921875,-0.234375,-0.53125,downstairs
2016-04-28 13:37:24.323,-1.0625,-0.21875,-0.53125,downstairs
2016-04-28 13:37:24.333,-1.25,-0.234375,-0.765625,downstairs
2016-04-28 13:37:24.343,-1.5,-0.34375,-1.015625,downstairs
2016-04-28 13:37:24.354,-1.78125,-0.359375,-1.078125,downstairs
2016-04-28 13:37:24.364,-2.015625,-0.265625,-0.953125,downstairs
2016-04-28 13:37:24.374,-2.109375,-0.1875,-0.796875,downstairs
2016-04-28 13:37:24.384,-2.046875,-0.078125,-0.59375,downstairs
2016-04-28 13:37:24.395,-1.890625,0.015625,-0.546875,downstairs
2016-04-28 13:37:24.405,-1.796875,0.234375,-0.5625,downstairs
2016-04-28 13:37:24.415,-1.796875,0.390625,-0.46875,downstairs
2016-04-28 13:37:24.425,-1.78125,0.296875,-0.5,downstairs
2016-04-28 13:37:24.436,-1.578125,0.140625,-0.40625,downstairs
2016-04-28 13:37:24.446,-1.203125,-0.015625,-0.25,downstairs
2016-04-28 13:37:24.456,-0.890625,-0.078125,-0.28125,downstairs
2016-04-28 13:37:24.466,-0.6875,-0.140625,-0.390625,downstairs
2016-04-28 13:37:24.476,-0.625,-0.171875,-0.421875,downstairs
2016-04-28 13:37:24.487,-0.65625,-0.125,-0.5,downstairs
2016-04-28 13:37:24.497,-0.75,-0.015625,-0.5,downstairs
2016-04-28 13:37:24.507,-0.796875,0.0625,-0.328125,downstairs
2016-04-28 13:37:24.517,-0.75,0.125,-0.265625,downstairs
2016-04-28 13:37:24.528,-0.671875,0.125,-0.234375,downstairs
2016-04-28 13:37:24.538,-0.546875,0.03125,-0.15625,downstairs
2016-04-28 13:37:24.548,-0.421875,-0.0625,-0.109375,downstairs
2016-04-28 13:37:24.559,-0.296875,-0.1875,-0.15625,downstairs
2016-04-28 13:37:24.569,-0.265625,-0.203125,-0.171875,downstairs
2016-04-28 13:37:24.579,-0.265625,0.046875,-0.1875,downstairs
2016-04-28 13:37:24.589,-0.25,0.0625,-0.21875,downstairs
2016-04-28 13:37:24.600,-0.21875,-0.046875,-0.265625,downstairs
2016-04-28 13:37:24.610,-0.171875,0.046875,-0.078125,downstairs
2016-04-28 13:37:24.620,-0.078125,0.375,-0.1875,downstairs
2016-04-28 13:37:24.630,-0.03125,0.515625,0.046875,downstairs
2016-04-28 13:37:24.641,0.015625,0.515625,0.265625,downstairs
2016-04-28 13:37:24.651,0.046875,0.640625,0.296875,downstairs
2016-04-28 13:37:24.661,0.03125,0.5,0.296875,downstairs
2016-04-28 13:37:24.671,-0.140625,0.1875,0.140625,downstairs
2016-04-28 13:37:24.681,-0.453125,-0.09375,0.0625,downstairs
2016-04-28 13:37:24.692,-0.859375,-0.234375,-0.140625,downstairs
2016-04-28 13:37:24.702,-1.265625,-0.34375,-0.28125,downstairs
2016-04-28 13:37:24.712,-1.609375,-0.421875,-0.46875,downstairs
2016-04-28 13:37:24.722,-1.875,-0.484375,-0.703125,downstairs
2016-04-28 13:37:24.733,-1.96875,-0.390625,-0.859375,downstairs
