time,x,y,z,class
2016-04-20 10:29:40.490,-1.78125,0.03125,0.484375,jogging
2016-04-20 10:29:40.500,-1.609375,0.046875,0.578125,jogging
2016-04-20 10:29:40.510,-1.46875,0.140625,0.546875,jogging
2016-04-20 10:29:40.520,-1.328125,0.171875,0.4375,jogging
2016-04-20 10:29:40.531,-1.234375,0.171875,0.359375,jogging
2016-04-20 10:29:40.541,-1.1875,0.171875,0.25,jogging
2016-04-20 10:29:40.551,-1.203125,0.1875,0.09375,jogging
2016-04-20 10:29:40.562,-1.140625,0.1875,0.03125,jogging
2016-04-20 10:29:40.572,-1.125,0.078125,0.0,jogging
2016-04-20 10:29:40.582,-1.171875,-0.0625,-0.015625,jogging
2016-04-20 10:29:40.592,-1.21875,-0.21875,0.0625,jogging
2016-04-20 10:29:40.603,-1.25,-0.328125,0.171875,jogging
2016-04-20 10:29:40.613,-1.1875,-0.359375,0.21875,jogging
2016-04-20 10:29:40.623,-1.09375,-0.265625,0.203125,jogging
2016-04-20 10:29:40.633,-0.96875,-0.125,0.171875,jogging
2016-04-20 10:29:40.644,-0.8125,0.046875,0.1875,jogging
2016-04-20 10:29:40.654,-0.671875,0.171875,0.203125,jogging
2016-04-20 10:29:40.664,-0.546875,0.21875,0.15625,jogging
2016-04-20 10:29:40.674,-0.453125,0.234375,0.125,jogging
2016-04-20 10:29:40.685,-0.359375,0.265625,0.140625,jogging
2016-04-20 10:29:40.695,-0.328125,0.265625,0.1875,jogging
2016-04-20 10:29:40.705,-0.3125,0.28125,0.234375,jogging
2016-04-20 10:29:40.715,-0.34375,0.25,0.265625,jogging
2016-04-20 10:29:40.726,-0.34375,0.25,0.28125,jogging
2016-04-20 10:29:40.736,-0.328125,0.21875,0.265625,jogging
2016-04-20 10:29:40.746,-0.25,0.21875,0.25,jogging
2016-04-20 10:29:40.756,-0.15625,0.21875,0.25,jogging
2016-04-20 10:29:40.766,-0.09375,0.25,0.265625,jogging
2016-04-20 10:29:40.777,-0.046875,0.3125,0.34375,jogging
2016-04-20 10:29:40.787,-0.015625,0.296875,0.40625,jogging
2016-04-20 10:29:40.797,-0.109375,0.265625,0.3125,jogging
2016-04-20 10:29:40.807,-0.375,0.328125,0.21875,jogging
2016-04-20 10:29:40.818,-0.6875,0.34375,0.109375,jogging
2016-04-20 10:29:40.828,-1.15625,0.265625,-0.140625,jogging
2016-04-20 10:29:40.838,-1.9375,0.125,-0.890625,jogging
2016-04-20 10:29:40.848,-3.234375,-0.40625,-2.34375,jogging
2016-04-20 10:29:40.859,-4.375,-1.15625,-2.15625,jogging
2016-04-20 10:29:40.869,-2.828125,-0.6875,-2.15625,jogging
2016-04-20 10:29:40.879,-1.078125,-0.40625,-1.890625,jogging
2016-04-20 10:29:40.889,-0.140625,-0.375,-0.6875,jogging
2016-04-20 10:29:40.900,-0.140625,0.015625,0.546875,jogging
2016-04-20 10:29:40.910,-0.421875,0.921875,1.546875,jogging
2016-04-20 10:29:40.920,-1.515625,1.296875,2.609375,jogging
2016-04-20 10:29:40.930,-2.046875,0.671875,1.578125,jogging
2016-04-20 10:29:40.941,-2.40625,0.21875,-0.53125,jogging
2016-04-20 10:29:40.951,-2.28125,-0.609375,-1.71875,jogging
2016-04-20 10:29:40.961,-1.859375,-1.09375,-1.140625,jogging
2016-04-20 10:29:40.972,-0.703125,-1.109375,-0.390625,jogging
2016-04-20 10:29:40.982,0.421875,-0.671875,0.578125,jogging
2016-04-20 10:29:40.992,0.328125,0.578125,1.4375,jogging
2016-04-20 10:29:41.002,-0.53125,1.328125,1.484375,jogging
2016-04-20 10:29:41.013,-0.578125,0.703125,0.765625,jogging
2016-04-20 10:29:41.023,-0.578125,-0.21875,0.046875,jogging
2016-04-20 10:29:41.033,-1.03125,-0.640625,-0.328125,jogging
2016-04-20 10:29:41.043,-1.46875,-0.65625,-0.125,jogging
2016-04-20 10:29:41.054,-1.390625,-0.578125,0.1875,jogging
2016-04-20 10:29:41.064,-1.0625,-0.296875,0.28125,jogging
2016-04-20 10:29:41.074,-0.890625,-0.03125,0.328125,jogging
2016-04-20 10:29:41.084,-0.90625,-0.078125,0.1875,jogging
2016-04-20 10:29:41.095,-0.984375,-0.1875,-0.046875,jogging
2016-04-20 10:29:41.105,-0.96875,-0.203125,-0.171875,jogging
2016-04-20 10:29:41.115,-0.9375,-0.140625,-0.078125,jogging
2016-04-20 10:29:41.125,-0.90625,-0.015625,0.078125,jogging
2016-04-20 10:29:41.136,-0.9375,0.0625,0.1875,jogging
2016-04-20 10:29:41.146,-0.9375,0.046875,0.265625,jogging
2016-04-20 10:29:41.156,-0.921875,0.046875,0.203125,jogging
2016-04-20 10:29:41.166,-0.859375,0.0625,0.15625,jogging
2016-04-20 10:29:41.177,-0.828125,0.09375,0.15625,jogging
2016-04-20 10:29:41.187,-0.84375,0.109375,0.234375,jogging
2016-04-20 10:29:41.197,-0.859375,0.078125,0.25,jogging
2016-04-20 10:29:41.207,-0.875,0.046875,0.296875,jogging
2016-04-20 10:29:41.217,-0.90625,0.0625,0.25,jogging
2016-04-20 10:29:41.228,-0.890625,0.046875,0.234375,jogging
2016-04-20 10:29:41.238,-0.921875,0.046875,0.203125,jogging
2016-04-20 10:29:41.248,-0.9375,0.015625,0.203125,jogging
2016-04-20 10:29:41.258,-1.0,0.015625,0.171875,jogging
2016-04-20 10:29:41.269,-0.984375,0.0,0.171875,jogging
2016-04-20 10:29:41.279,-1.078125,-0.03125,0.140625,jogging
2016-04-20 10:29:41.289,-1.09375,-0.015625,0.0625,jogging
2016-04-20 10:29:41.299,-1.078125,0.015625,0.0,jogging
2016-04-20 10:29:41.310,-0.984375,0.0625,-0.125,jogging
2016-04-20 10:29:41.320,-1.0,0.0625,-0.15625,jogging
2016-04-20 10:29:41.330,-0.984375,0.03125,-0.265625,jogging
2016-04-20 10:29:41.340,-1.078125,-0.03125,-0.21875,jogging
2016-04-20 10:29:41.351,-1.125,-0.171875,-0.21875,jogging
2016-04-20 10:29:41.361,-1.21875,-0.3125,-0.125,jogging
2016-04-20 10:29:41.371,-1.25,-0.46875,-0.125,jogging
2016-04-20 10:29:41.381,-1.3125,-0.5,-0.015625,jogging
2016-04-20 10:29:41.392,-1.359375,-0.40625,-0.0625,jogging
2016-04-20 10:29:41.402,-1.375,-0.3125,-0.015625,jogging
2016-04-20 10:29:41.412,-1.5625,-0.265625,-0.15625,jogging
2016-04-20 10:29:41.423,-1.765625,-0.34375,-0.28125,jogging
2016-04-20 10:29:41.433,-1.71875,-0.546875,-0.53125,jogging
2016-04-20 10:29:41.443,-1.65625,-0.625,-0.578125,jogging
2016-04-20 10:29:41.453,-1.65625,-0.609375,-0.515625,jogging
2016-04-20 10:29:41.464,-1.546875,-0.453125,-0.34375,jogging
2016-04-20 10:29:41.474,-1.34375,-0.171875,-0.171875,jogging
2016-04-20 10:29:41.484,-1.21875,0.0625,-0.15625,jogging
2016-04-20 10:29:41.494,-1.3125,0.265625,-0.015625,jogging
2016-04-20 10:29:41.505,-1.625,0.34375,0.15625,jogging
2016-04-20 10:29:41.515,-1.796875,0.28125,0.375,jogging
2016-04-20 10:29:41.525,-1.765625,0.125,0.515625,jogging
2016-04-20 10:29:41.535,-1.640625,0.03125,0.65625,jogging
2016-04-20 10:29:41.546,-1.484375,0.0625,0.625,jogging
2016-04-20 10:29:41.556,-1.296875,0.0625,0.453125,jogging
2016-04-20 10:29:41.566,-1.1875,0.046875,0.28125,jogging
2016-04-20 10:29:41.576,-1.15625,0.046875,0.109375,jogging
2016-04-20 10:29:41.587,-1.15625,0.109375,0.0,jogging
2016-04-20 10:29:41.597,-1.171875,0.109375,-0.0625,jogging
2016-04-20 10:29:41.607,-1.125,0.046875,-0.03125,jogging
2016-04-20 10:29:41.617,-1.109375,-0.140625,0.03125,jogging
2016-04-20 10:29:41.627,-1.125,-0.28125,0.15625,jogging
2016-04-20 10:29:41.638,-1.09375,-0.34375,0.28125,jogging
2016-04-20 10:29:41.648,-1.0625,-0.328125,0.375,jogging
2016-04-20 10:29:41.658,-1.015625,-0.28125,0.34375,jogging
2016-04-20 10:29:41.668,-0.921875,-0.203125,0.28125,jogging
2016-04-20 10:29:41.679,-0.78125,-0.03125,0.265625,jogging
2016-04-20 10:29:41.689,-0.625,0.0625,0.265625,jogging
2016-04-20 10:29:41.699,-0.515625,0.140625,0.21875,jogging
2016-04-20 10:29:41.709,-0.4375,0.203125,0.171875,jogging
2016-04-20 10:29:41.720,-0.375,0.25,0.140625,jogging
2016-04-20 10:29:41.730,-0.328125,0.28125,0.140625,jogging
2016-04-20 10:29:41.741,-0.28125,0.296875,0.1875,jogging
2016-04-20 10:29:41.751,-0.25,0.296875,0.21875,jogging
2016-04-20 10:29:41.761,-0.234375,0.3125,0.234375,jogging
2016-04-20 10:29:41.771,-0.234375,0.28125,0.25,jogging
2016-04-20 10:29:41.782,-0.25,0.234375,0.25,jogging
2016-04-20 10:29:41.792,-0.234375,0.203125,0.25,jogging
2016-04-20 10:29:41.803,-0.1875,0.25,0.265625,jogging
2016-04-20 10:29:41.813,-0.109375,0.390625,0.296875,jogging
2016-04-20 10:29:41.823,-0.140625,0.40625,0.34375,jogging
2016-04-20 10:29:41.833,-0.3125,0.3125,0.328125,jogging
2016-04-20 10:29:41.844,-0.5625,0.3125,0.28125,jogging
2016-04-20 10:29:41.854,-0.859375,0.453125,0.203125,jogging
2016-04-20 10:29:41.865,-1.296875,0.484375,-0.140625,jogging
2016-04-20 10:29:41.875,-1.96875,0.328125,-1.0,jogging
2016-04-20 10:29:41.885,-3.09375,-0.109375,-2.328125,jogging
2016-04-20 10:29:41.895,-4.359375,-0.921875,-1.921875,jogging
2016-04-20 10:29:41.906,-3.125,-0.84375,-2.203125,jogging
2016-04-20 10:29:41.916,-1.3125,-0.5,-1.734375,jogging
2016-04-20 10:29:41.927,-0.21875,-0.359375,-0.828125,jogging
2016-04-20 10:29:41.937,-0.0625,-0.0625,0.140625,jogging
2016-04-20 10:29:41.947,-0.40625,0.703125,1.0,jogging
2016-04-20 10:29:41.958,-1.3125,1.359375,2.421875,jogging
2016-04-20 10:29:41.968,-1.84375,0.625,2.203125,jogging
2016-04-20 10:29:41.978,-2.109375,0.140625,0.21875,jogging
2016-04-20 10:29:41.988,-2.1875,-0.640625,-1.25,jogging
2016-04-20 10:29:41.999,-1.890625,-1.078125,-0.96875,jogging
2016-04-20 10:29:42.009,-1.09375,-1.078125,-0.578125,jogging
2016-04-20 10:29:42.020,-0.015625,-0.78125,0.21875,jogging
2016-04-20 10:29:42.030,0.625,0.15625,0.765625,jogging
2016-04-20 10:29:42.040,-0.015625,1.1875,1.25,jogging
2016-04-20 10:29:42.050,-0.53125,1.1875,0.984375,jogging
2016-04-20 10:29:42.061,-0.5625,0.453125,0.25,jogging
2016-04-20 10:29:42.071,-0.84375,-0.1875,-0.28125,jogging
2016-04-20 10:29:42.082,-1.4375,-0.453125,-0.34375,jogging
2016-04-20 10:29:42.092,-1.671875,-0.609375,-0.046875,jogging
2016-04-20 10:29:42.102,-1.328125,-0.65625,0.109375,jogging
2016-04-20 10:29:42.112,-1.0,-0.4375,0.234375,jogging
2016-04-20 10:29:42.123,-0.9375,-0.359375,0.15625,jogging
2016-04-20 10:29:42.133,-0.9375,-0.390625,-0.078125,jogging
2016-04-20 10:29:42.144,-0.921875,-0.3125,-0.15625,jogging
2016-04-20 10:29:42.154,-0.875,-0.203125,0.0,jogging
2016-04-20 10:29:42.164,-0.875,-0.078125,0.171875,jogging
2016-04-20 10:29:42.174,-0.875,0.0,0.234375,jogging
2016-04-20 10:29:42.185,-0.90625,0.015625,0.25,jogging
2016-04-20 10:29:42.195,-0.875,0.046875,0.203125,jogging
2016-04-20 10:29:42.206,-0.84375,0.078125,0.140625,jogging
2016-04-20 10:29:42.216,-0.8125,0.109375,0.15625,jogging
2016-04-20 10:29:42.226,-0.796875,0.109375,0.25,jogging
2016-04-20 10:29:42.236,-0.78125,0.140625,0.296875,jogging
2016-04-20 10:29:42.247,-0.84375,0.15625,0.3125,jogging
2016-04-20 10:29:42.257,-0.890625,0.125,0.25,jogging
2016-04-20 10:29:42.268,-0.9375,0.046875,0.21875,jogging
2016-04-20 10:29:42.278,-0.9375,-0.046875,0.15625,jogging
2016-04-20 10:29:42.288,-0.953125,-0.09375,0.25,jogging
2016-04-20 10:29:42.298,-1.0,-0.046875,0.21875,jogging
2016-04-20 10:29:42.309,-1.015625,0.0,0.1875,jogging
2016-04-20 10:29:42.319,-1.09375,0.0,0.15625,jogging
2016-04-20 10:29:42.330,-1.078125,-0.046875,0.078125,jogging
2016-04-20 10:29:42.340,-1.078125,-0.078125,0.0625,jogging
2016-04-20 10:29:42.350,-0.984375,-0.0625,-0.0625,jogging
2016-04-20 10:29:42.361,-0.984375,0.015625,-0.140625,jogging
2016-04-20 10:29:42.371,-1.015625,0.03125,-0.328125,jogging
2016-04-20 10:29:42.381,-1.171875,0.03125,-0.296875,jogging
2016-04-20 10:29:42.391,-1.28125,0.0,-0.359375,jogging
2016-04-20 10:29:42.402,-1.375,-0.109375,-0.265625,jogging
2016-04-20 10:29:42.412,-1.40625,-0.3125,-0.34375,jogging
2016-04-20 10:29:42.423,-1.46875,-0.515625,-0.28125,jogging
2016-04-20 10:29:42.433,-1.515625,-0.65625,-0.28125,jogging
2016-04-20 10:29:42.443,-1.671875,-0.625,-0.296875,jogging
2016-04-20 10:29:42.453,-1.828125,-0.65625,-0.546875,jogging
2016-04-20 10:29:42.464,-1.765625,-0.859375,-0.765625,jogging
2016-04-20 10:29:42.474,-1.609375,-0.9375,-0.640625,jogging
2016-04-20 10:29:42.485,-1.515625,-0.71875,-0.375,jogging
2016-04-20 10:29:42.495,-1.328125,-0.375,-0.265625,jogging
2016-04-20 10:29:42.505,-1.328125,-0.078125,-0.109375,jogging
2016-04-20 10:29:42.515,-1.59375,0.171875,0.046875,jogging
2016-04-20 10:29:42.526,-2.03125,0.25,0.3125,jogging
2016-04-20 10:29:42.536,-2.046875,0.171875,0.734375,jogging
2016-04-20 10:29:42.547,-1.828125,0.109375,0.84375,jogging
2016-04-20 10:29:42.557,-1.671875,0.1875,0.734375,jogging
2016-04-20 10:29:42.567,-1.484375,0.328125,0.484375,jogging
2016-04-20 10:29:42.577,-1.296875,0.34375,0.15625,jogging
2016-04-20 10:29:42.588,-1.21875,0.3125,-0.125,jogging
2016-04-20 10:29:42.598,-1.1875,0.234375,-0.109375,jogging
2016-04-20 10:29:42.609,-1.171875,0.09375,0.0,jogging
2016-04-20 10:29:42.619,-1.1875,0.0,0.15625,jogging
2016-04-20 10:29:42.629,-1.15625,-0.046875,0.28125,jogging
2016-04-20 10:29:42.639,-1.109375,-0.078125,0.3125,jogging
2016-04-20 10:29:42.650,-1.046875,-0.109375,0.34375,jogging
2016-04-20 10:29:42.660,-1.0,-0.0625,0.3125,jogging
2016-04-20 10:29:42.671,-0.90625,-0.0625,0.25,jogging
2016-04-20 10:29:42.681,-0.78125,-0.09375,0.234375,jogging
2016-04-20 10:29:42.691,-0.640625,-0.046875,0.234375,jogging
2016-04-20 10:29:42.701,-0.515625,0.0,0.203125,jogging
2016-04-20 10:29:42.712,-0.421875,0.0625,0.140625,jogging
2016-04-20 10:29:42.722,-0.375,0.140625,0.109375,jogging
2016-04-20 10:29:42.733,-0.34375,0.234375,0.09375,jogging
2016-04-20 10:29:42.743,-0.359375,0.296875,0.125,jogging
2016-04-20 10:29:42.753,-0.328125,0.328125,0.171875,jogging
2016-04-20 10:29:42.763,-0.265625,0.328125,0.21875,jogging
2016-04-20 10:29:42.774,-0.1875,0.328125,0.265625,jogging
2016-04-20 10:29:42.784,-0.125,0.265625,0.296875,jogging
2016-04-20 10:29:42.794,-0.078125,0.21875,0.3125,jogging
2016-04-20 10:29:42.805,-0.03125,0.15625,0.34375,jogging
2016-04-20 10:29:42.815,-0.015625,0.203125,0.375,jogging
2016-04-20 10:29:42.826,0.0,0.234375,0.328125,jogging
2016-04-20 10:29:42.836,-0.125,0.15625,0.28125,jogging
2016-04-20 10:29:42.846,-0.375,0.078125,0.34375,jogging
2016-04-20 10:29:42.856,-0.765625,0.203125,0.375,jogging
2016-04-20 10:29:42.867,-1.25,0.28125,0.140625,jogging
2016-04-20 10:29:42.877,-1.875,0.21875,-0.609375,jogging
2016-04-20 10:29:42.888,-2.96875,-0.046875,-1.90625,jogging
2016-04-20 10:29:42.898,-4.171875,-0.71875,-2.46875,jogging
2016-04-20 10:29:42.908,-3.328125,-1.0,-1.78125,jogging
2016-04-20 10:29:42.918,-1.59375,-0.734375,-1.703125,jogging
2016-04-20 10:29:42.929,-0.421875,-0.53125,-1.265625,jogging
2016-04-20 10:29:42.939,0.171875,-0.359375,-0.453125,jogging
2016-04-20 10:29:42.950,0.25,0.046875,0.203125,jogging
2016-04-20 10:29:42.960,-0.078125,0.921875,1.21875,jogging
2016-04-20 10:29:42.970,-1.578125,1.171875,2.53125,jogging
2016-04-20 10:29:42.980,-2.25,0.46875,1.78125,jogging
2016-04-20 10:29:42.991,-2.765625,-0.296875,-0.21875,jogging
2016-04-20 10:29:43.001,-2.484375,-1.28125,-1.515625,jogging
2016-04-20 10:29:43.012,-2.046875,-1.234375,-1.265625,jogging
2016-04-20 10:29:43.022,-1.15625,-0.90625,-0.796875,jogging
2016-04-20 10:29:43.032,-0.140625,-0.421875,0.421875,jogging
2016-04-20 10:29:43.042,0.265625,0.75,1.390625,jogging
2016-04-20 10:29:43.053,-0.421875,1.90625,1.578125,jogging
2016-04-20 10:29:43.063,-0.46875,1.65625,1.0,jogging
2016-04-20 10:29:43.074,-0.28125,0.546875,0.0625,jogging
2016-04-20 10:29:43.084,-0.59375,-0.015625,-0.234375,jogging
2016-04-20 10:29:43.094,-1.234375,-0.15625,-0.109375,jogging
2016-04-20 10:29:43.104,-1.453125,-0.40625,0.28125,jogging
2016-04-20 10:29:43.115,-1.203125,-0.8125,0.484375,jogging
2016-04-20 10:29:43.125,-0.984375,-0.78125,0.4375,jogging
2016-04-20 10:29:43.136,-0.9375,-0.5625,0.21875,jogging
2016-04-20 10:29:43.146,-0.9375,-0.421875,-0.03125,jogging
2016-04-20 10:29:43.156,-0.921875,-0.25,-0.125,jogging
2016-04-20 10:29:43.166,-0.859375,-0.15625,-0.03125,jogging
2016-04-20 10:29:43.177,-0.875,-0.09375,0.109375,jogging
2016-04-20 10:29:43.187,-0.9375,-0.0625,0.1875,jogging
2016-04-20 10:29:43.197,-0.96875,-0.03125,0.203125,jogging
2016-04-20 10:29:43.208,-0.921875,0.015625,0.171875,jogging
2016-04-20 10:29:43.218,-0.890625,0.109375,0.125,jogging
2016-04-20 10:29:43.229,-0.875,0.1875,0.109375,jogging
2016-04-20 10:29:43.239,-0.859375,0.203125,0.1875,jogging
2016-04-20 10:29:43.249,-0.8125,0.1875,0.234375,jogging
2016-04-20 10:29:43.259,-0.8125,0.171875,0.28125,jogging
2016-04-20 10:29:43.270,-0.859375,0.140625,0.234375,jogging
2016-04-20 10:29:43.280,-0.90625,0.046875,0.1875,jogging
2016-04-20 10:29:43.291,-0.953125,-0.015625,0.15625,jogging
2016-04-20 10:29:43.301,-0.96875,-0.046875,0.140625,jogging
2016-04-20 10:29:43.311,-0.984375,-0.046875,0.21875,jogging
2016-04-20 10:29:43.321,-1.03125,0.0,0.1875,jogging
2016-04-20 10:29:43.332,-1.078125,-0.03125,0.1875,jogging
2016-04-20 10:29:43.342,-1.078125,-0.0625,0.03125,jogging
2016-04-20 10:29:43.353,-0.984375,-0.09375,-0.03125,jogging
2016-04-20 10:29:43.363,-0.984375,-0.09375,-0.125,jogging
2016-04-20 10:29:43.373,-1.0,-0.078125,-0.171875,jogging
2016-04-20 10:29:43.383,-1.09375,-0.078125,-0.15625,jogging
2016-04-20 10:29:43.394,-1.1875,-0.109375,-0.203125,jogging
2016-04-20 10:29:43.404,-1.21875,-0.1875,-0.171875,jogging
2016-04-20 10:29:43.415,-1.234375,-0.3125,-0.1875,jogging
2016-04-20 10:29:43.425,-1.28125,-0.46875,-0.109375,jogging
2016-04-20 10:29:43.435,-1.359375,-0.53125,-0.109375,jogging
2016-04-20 10:29:43.445,-1.40625,-0.484375,-0.09375,jogging
2016-04-20 10:29:43.456,-1.4375,-0.375,-0.234375,jogging
2016-04-20 10:29:43.466,-1.65625,-0.28125,-0.375,jogging
2016-04-20 10:29:43.477,-1.765625,-0.40625,-0.5,jogging
2016-04-20 10:29:43.487,-1.671875,-0.578125,-0.609375,jogging
2016-04-20 10:29:43.497,-1.625,-0.671875,-0.578125,jogging
2016-04-20 10:29:43.507,-1.5625,-0.625,-0.46875,jogging
2016-04-20 10:29:43.518,-1.40625,-0.40625,-0.34375,jogging
2016-04-20 10:29:43.528,-1.25,-0.15625,-0.1875,jogging
2016-04-20 10:29:43.539,-1.28125,0.109375,-0.046875,jogging
2016-04-20 10:29:43.549,-1.5625,0.28125,0.1875,jogging
