time,x,y,z,class
2016-04-20 11:13:03.305,-0.3125,-0.3125,-1.0,sitting
2016-04-20 11:13:03.315,-0.234375,-0.328125,-0.984375,sitting
2016-04-20 11:13:03.325,-0.15625,-0.34375,-0.96875,sitting
2016-04-20 11:13:03.335,-0.09375,-0.34375,-0.96875,sitting
2016-04-20 11:13:03.345,-0.0625,-0.296875,-0.96875,sitting
2016-04-20 11:13:03.355,-0.046875,-0.25,-0.984375,sitting
2016-04-20 11:13:03.365,-0.046875,-0.1875,-1.0,sitting
2016-04-20 11:13:03.375,-0.078125,-0.125,-1.015625,sitting
2016-04-20 11:13:03.385,-0.109375,-0.0625,-1.0,sitting
2016-04-20 11:13:03.395,-0.15625,0.015625,-0.96875,sitting
2016-04-20 11:13:03.405,-0.21875,0.0625,-0.9375,sitting
2016-04-20 11:13:03.414,-0.265625,0.09375,-0.921875,sitting
2016-04-20 11:13:03.424,-0.3125,0.09375,-0.9375,sitting
2016-04-20 11:13:03.434,-0.359375,0.125,-0.953125,sitting
2016-04-20 11:13:03.444,-0.390625,0.125,-0.96875,sitting
2016-04-20 11:13:03.454,-0.421875,0.109375,-1.03125,sitting
2016-04-20 11:13:03.464,-0.484375,0.109375,-1.125,sitting
2016-04-20 11:13:03.474,-0.546875,0.09375,-1.203125,sitting
2016-04-20 11:13:03.484,-0.546875,0.03125,-1.1875,sitting
2016-04-20 11:13:03.494,-0.53125,-0.078125,-1.09375,sitting
2016-04-20 11:13:03.504,-0.5,-0.109375,-0.953125,sitting
2016-04-20 11:13:03.514,-0.421875,-0.140625,-0.84375,sitting
2016-04-20 11:13:03.524,-0.359375,-0.125,-0.796875,sitting
2016-04-20 11:13:03.533,-0.28125,-0.09375,-0.765625,sitting
2016-04-20 11:13:03.543,-0.21875,-0.046875,-0.765625,sitting
2016-04-20 11:13:03.553,-0.171875,0.0,-0.828125,sitting
2016-04-20 11:13:03.563,-0.15625,0.046875,-0.90625,sitting
2016-04-20 11:13:03.573,-0.171875,0.078125,-0.984375,sitting
2016-04-20 11:13:03.583,-0.203125,0.0625,-1.015625,sitting
2016-04-20 11:13:03.593,-0.234375,0.046875,-1.0,sitting
2016-04-20 11:13:03.603,-0.25,0.015625,-0.96875,sitting
2016-04-20 11:13:03.613,-0.234375,-0.03125,-0.9375,sitting
2016-04-20 11:13:03.623,-0.21875,-0.09375,-0.921875,sitting
2016-04-20 11:13:03.633,-0.21875,-0.125,-0.9375,sitting
2016-04-20 11:13:03.643,-0.234375,-0.15625,-0.984375,sitting
2016-04-20 11:13:03.652,-0.265625,-0.171875,-1.0625,sitting
2016-04-20 11:13:03.662,-0.34375,-0.171875,-1.15625,sitting
2016-04-20 11:13:03.672,-0.453125,-0.203125,-1.203125,sitting
2016-04-20 11:13:03.682,-0.5,-0.25,-1.15625,sitting
2016-04-20 11:13:03.692,-0.53125,-0.28125,-1.046875,sitting
2016-04-20 11:13:03.702,-0.53125,-0.296875,-0.984375,sitting
2016-04-20 11:13:03.712,-0.515625,-0.296875,-1.0,sitting
2016-04-20 11:13:03.722,-0.484375,-0.265625,-1.03125,sitting
2016-04-20 11:13:03.732,-0.4375,-0.21875,-1.046875,sitting
2016-04-20 11:13:03.742,-0.390625,-0.1875,-1.0,sitting
2016-04-20 11:13:03.752,-0.359375,-0.125,-0.921875,sitting
2016-04-20 11:13:03.762,-0.296875,-0.0625,-0.859375,sitting
2016-04-20 11:13:03.771,-0.21875,0.0,-0.828125,sitting
2016-04-20 11:13:03.781,-0.15625,0.0625,-0.828125,sitting
2016-04-20 11:13:03.791,-0.109375,0.125,-0.84375,sitting
2016-04-20 11:13:03.801,-0.109375,0.171875,-0.84375,sitting
2016-04-20 11:13:03.811,-0.140625,0.1875,-0.875,sitting
2016-04-20 11:13:03.821,-0.15625,0.203125,-0.921875,sitting
2016-04-20 11:13:03.831,-0.203125,0.1875,-0.984375,sitting
2016-04-20 11:13:03.841,-0.21875,0.125,-1.0,sitting
2016-04-20 11:13:03.851,-0.25,0.078125,-1.015625,sitting
2016-04-20 11:13:03.861,-0.265625,0.015625,-1.015625,sitting
2016-04-20 11:13:03.871,-0.296875,-0.03125,-1.046875,sitting
2016-04-20 11:13:03.881,-0.359375,-0.078125,-1.09375,sitting
2016-04-20 11:13:03.890,-0.40625,-0.125,-1.140625,sitting
2016-04-20 11:13:03.900,-0.453125,-0.1875,-1.125,sitting
2016-04-20 11:13:03.910,-0.46875,-0.25,-1.0625,sitting
2016-04-20 11:13:03.920,-0.4375,-0.296875,-0.984375,sitting
2016-04-20 11:13:03.930,-0.40625,-0.328125,-0.9375,sitting
2016-04-20 11:13:03.940,-0.375,-0.3125,-0.921875,sitting
2016-04-20 11:13:03.950,-0.359375,-0.28125,-0.921875,sitting
2016-04-20 11:13:03.960,-0.328125,-0.25,-0.9375,sitting
2016-04-20 11:13:03.970,-0.296875,-0.21875,-0.96875,sitting
2016-04-20 11:13:03.980,-0.25,-0.203125,-1.0,sitting
2016-04-20 11:13:03.990,-0.234375,-0.1875,-1.0,sitting
2016-04-20 11:13:04.000,-0.234375,-0.15625,-0.984375,sitting
2016-04-20 11:13:04.010,-0.234375,-0.140625,-0.9375,sitting
2016-04-20 11:13:04.019,-0.25,-0.125,-0.921875,sitting
2016-04-20 11:13:04.029,-0.28125,-0.109375,-0.9375,sitting
2016-04-20 11:13:04.039,-0.328125,-0.078125,-0.96875,sitting
2016-04-20 11:13:04.050,-0.390625,-0.0625,-1.015625,sitting
2016-04-20 11:13:04.059,-0.40625,-0.0625,-1.046875,sitting
2016-04-20 11:13:04.069,-0.40625,-0.078125,-1.046875,sitting
2016-04-20 11:13:04.079,-0.40625,-0.09375,-1.015625,sitting
2016-04-20 11:13:04.090,-0.375,-0.109375,-0.984375,sitting
