time,x,y,z,class
2016-05-06 13:59:23.772,-0.921875,-0.046875,-0.09375,upstairs
2016-05-06 13:59:23.782,-1.0625,-0.09375,-0.0625,upstairs
2016-05-06 13:59:23.792,-1.171875,-0.125,-0.03125,upstairs
2016-05-06 13:59:23.802,-1.265625,-0.203125,-0.015625,upstairs
2016-05-06 13:59:23.812,-1.296875,-0.265625,0.015625,upstairs
2016-05-06 13:59:23.822,-1.265625,-0.34375,0.03125,upstairs
2016-05-06 13:59:23.832,-1.203125,-0.421875,0.046875,upstairs
2016-05-06 13:59:23.841,-1.1875,-0.40625,0.078125,upstairs
2016-05-06 13:59:23.851,-1.25,-0.34375,0.109375,upstairs
2016-05-06 13:59:23.861,-1.390625,-0.28125,0.0625,upstairs
2016-05-06 13:59:23.871,-1.4375,-0.171875,0.0,upstairs
2016-05-06 13:59:23.881,-1.484375,-0.03125,-0.09375,upstairs
2016-05-06 13:59:23.891,-1.640625,0.09375,-0.171875,upstairs
2016-05-06 13:59:23.901,-1.78125,0.203125,-0.234375,upstairs
2016-05-06 13:59:23.911,-1.734375,0.28125,-0.25,upstairs
2016-05-06 13:59:23.921,-1.640625,0.3125,-0.21875,upstairs
2016-05-06 13:59:23.931,-1.59375,0.3125,-0.21875,upstairs
2016-05-06 13:59:23.941,-1.59375,0.296875,-0.296875,upstairs
2016-05-06 13:59:23.951,-1.625,0.15625,-0.40625,upstairs
2016-05-06 13:59:23.960,-1.640625,-0.015625,-0.5625,upstairs
2016-05-06 13:59:23.970,-1.609375,-0.15625,-0.65625,upstairs
2016-05-06 13:59:23.980,-1.53125,-0.234375,-0.703125,upstairs
2016-05-06 13:59:23.990,-1.515625,-0.265625,-0.546875,upstairs
2016-05-06 13:59:24.000,-1.53125,-0.296875,-0.34375,upstairs
2016-05-06 13:59:24.010,-1.515625,-0.375,-0.0625,upstairs
2016-05-06 13:59:24.020,-1.421875,-0.453125,0.3125,upstairs
2016-05-06 13:59:24.030,-1.296875,-0.453125,0.546875,upstairs
2016-05-06 13:59:24.040,-1.1875,-0.265625,0.625,upstairs
2016-05-06 13:59:24.050,-1.078125,0.140625,0.640625,upstairs
2016-05-06 13:59:24.060,-1.0,0.1875,0.5,upstairs
2016-05-06 13:59:24.069,-0.90625,0.40625,0.3125,upstairs
2016-05-06 13:59:24.079,-0.890625,0.40625,0.0,upstairs
2016-05-06 13:59:24.089,-0.890625,0.3125,-0.28125,upstairs
2016-05-06 13:59:24.099,-0.953125,0.15625,-0.484375,upstairs
2016-05-06 13:59:24.109,-1.078125,0.140625,-0.59375,upstairs
2016-05-06 13:59:24.119,-1.09375,0.25,-0.5625,upstairs
2016-05-06 13:59:24.128,-0.921875,0.265625,-0.40625,upstairs
2016-05-06 13:59:24.138,-0.75,0.0,-0.234375,upstairs
2016-05-06 13:59:24.148,-0.75,-0.171875,-0.15625,upstairs
2016-05-06 13:59:24.158,-0.671875,-0.25,-0.125,upstairs
2016-05-06 13:59:24.168,-0.625,-0.171875,-0.140625,upstairs
2016-05-06 13:59:24.178,-0.5625,-0.125,-0.1875,upstairs
2016-05-06 13:59:24.187,-0.515625,0.0625,-0.203125,upstairs
2016-05-06 13:59:24.197,-0.5625,0.296875,-0.234375,upstairs
2016-05-06 13:59:24.207,-0.515625,0.046875,-0.171875,upstairs
2016-05-06 13:59:24.217,-0.40625,0.03125,-0.21875,upstairs
2016-05-06 13:59:24.227,-0.46875,0.125,-0.25,upstairs
2016-05-06 13:59:24.237,-0.4375,0.015625,-0.265625,upstairs
2016-05-06 13:59:24.246,-0.421875,-0.03125,-0.3125,upstairs
2016-05-06 13:59:24.256,-0.375,-0.09375,-0.296875,upstairs
2016-05-06 13:59:24.266,-0.359375,-0.125,-0.3125,upstairs
2016-05-06 13:59:24.276,-0.3125,-0.140625,-0.3125,upstairs
2016-05-06 13:59:24.286,-0.28125,-0.15625,-0.359375,upstairs
2016-05-06 13:59:24.296,-0.28125,-0.15625,-0.421875,upstairs
2016-05-06 13:59:24.305,-0.28125,-0.1875,-0.4375,upstairs
2016-05-06 13:59:24.315,-0.25,-0.21875,-0.40625,upstairs
2016-05-06 13:59:24.325,-0.234375,-0.25,-0.375,upstairs
2016-05-06 13:59:24.335,-0.234375,-0.328125,-0.390625,upstairs
2016-05-06 13:59:24.345,-0.296875,-0.40625,-0.375,upstairs
2016-05-06 13:59:24.355,-0.328125,-0.421875,-0.28125,upstairs
2016-05-06 13:59:24.364,-0.4375,-0.296875,-0.25,upstairs
2016-05-06 13:59:24.374,-0.6875,-0.125,-0.484375,upstairs
2016-05-06 13:59:24.384,-0.8125,0.015625,-0.671875,upstairs
2016-05-06 13:59:24.394,-0.71875,0.28125,-0.15625,upstairs
2016-05-06 13:59:24.404,-1.53125,0.0625,-0.5625,upstairs
2016-05-06 13:59:24.414,-2.296875,-0.1875,-0.546875,upstairs
2016-05-06 13:59:24.423,-3.078125,-1.046875,-1.234375,upstairs
2016-05-06 13:59:24.433,-2.21875,-1.359375,-0.53125,upstairs
2016-05-06 13:59:24.443,-1.078125,-0.96875,-0.234375,upstairs
2016-05-06 13:59:24.453,-0.75,-0.4375,-0.375,upstairs
2016-05-06 13:59:24.463,-0.71875,-0.1875,-0.328125,upstairs
2016-05-06 13:59:24.473,-0.75,-0.046875,-0.296875,upstairs
2016-05-06 13:59:24.482,-0.625,0.171875,-0.359375,upstairs
2016-05-06 13:59:24.492,-0.515625,0.40625,-0.34375,upstairs
2016-05-06 13:59:24.502,-0.53125,0.421875,-0.34375,upstairs
2016-05-06 13:59:24.512,-0.625,0.359375,-0.3125,upstairs
2016-05-06 13:59:24.522,-0.78125,0.421875,-0.25,upstairs
2016-05-06 13:59:24.532,-1.046875,0.390625,-0.234375,upstairs
2016-05-06 13:59:24.541,-1.40625,0.1875,-0.1875,upstairs
2016-05-06 13:59:24.551,-1.546875,-0.078125,-0.140625,upstairs
2016-05-06 13:59:24.561,-1.421875,-0.390625,-0.15625,upstairs
2016-05-06 13:59:24.571,-1.25,-0.65625,-0.21875,upstairs
2016-05-06 13:59:24.581,-1.015625,-0.65625,-0.28125,upstairs
2016-05-06 13:59:24.591,-0.875,-0.59375,-0.3125,upstairs
2016-05-06 13:59:24.600,-0.765625,-0.484375,-0.328125,upstairs
2016-05-06 13:59:24.610,-0.75,-0.375,-0.28125,upstairs
2016-05-06 13:59:24.620,-0.71875,-0.265625,-0.265625,upstairs
2016-05-06 13:59:24.630,-0.71875,-0.1875,-0.234375,upstairs
2016-05-06 13:59:24.640,-0.71875,-0.15625,-0.203125,upstairs
2016-05-06 13:59:24.650,-0.71875,-0.15625,-0.1875,upstairs
2016-05-06 13:59:24.659,-0.765625,-0.234375,-0.203125,upstairs
2016-05-06 13:59:24.669,-0.796875,-0.28125,-0.25,upstairs
2016-05-06 13:59:24.679,-0.828125,-0.390625,-0.28125,upstairs
2016-05-06 13:59:24.689,-0.828125,-0.40625,-0.265625,upstairs
2016-05-06 13:59:24.699,-0.84375,-0.375,-0.21875,upstairs
2016-05-06 13:59:24.709,-0.875,-0.359375,-0.21875,upstairs
2016-05-06 13:59:24.718,-0.890625,-0.328125,-0.21875,upstairs
2016-05-06 13:59:24.728,-0.875,-0.25,-0.21875,upstairs
2016-05-06 13:59:24.738,-0.84375,-0.15625,-0.21875,upstairs
2016-05-06 13:59:24.748,-0.8125,-0.078125,-0.234375,upstairs
2016-05-06 13:59:24.758,-0.78125,-0.03125,-0.234375,upstairs
2016-05-06 13:59:24.768,-0.765625,0.09375,-0.21875,upstairs
2016-05-06 13:59:24.777,-0.828125,0.078125,-0.203125,upstairs
2016-05-06 13:59:24.787,-0.9375,0.109375,-0.203125,upstairs
2016-05-06 13:59:24.797,-1.0625,0.0625,-0.1875,upstairs
2016-05-06 13:59:24.807,-1.15625,0.0,-0.171875,upstairs
2016-05-06 13:59:24.817,-1.171875,-0.109375,-0.140625,upstairs
2016-05-06 13:59:24.827,-1.15625,-0.203125,-0.078125,upstairs
2016-05-06 13:59:24.836,-1.109375,-0.328125,-0.03125,upstairs
2016-05-06 13:59:24.846,-1.09375,-0.40625,-0.015625,upstairs
2016-05-06 13:59:24.856,-1.0625,-0.421875,0.0,upstairs
2016-05-06 13:59:24.866,-1.078125,-0.453125,0.015625,upstairs
2016-05-06 13:59:24.876,-1.09375,-0.46875,0.015625,upstairs
2016-05-06 13:59:24.886,-1.125,-0.390625,0.03125,upstairs
2016-05-06 13:59:24.895,-1.25,-0.328125,0.046875,upstairs
2016-05-06 13:59:24.905,-1.328125,-0.3125,0.03125,upstairs
2016-05-06 13:59:24.915,-1.375,-0.234375,0.0,upstairs
2016-05-06 13:59:24.925,-1.40625,-0.15625,-0.0625,upstairs
2016-05-06 13:59:24.935,-1.5,-0.125,-0.109375,upstairs
2016-05-06 13:59:24.945,-1.609375,-0.109375,-0.15625,upstairs
2016-05-06 13:59:24.954,-1.6875,-0.125,-0.234375,upstairs
2016-05-06 13:59:24.964,-1.703125,-0.109375,-0.296875,upstairs
2016-05-06 13:59:24.974,-1.59375,-0.078125,-0.34375,upstairs
2016-05-06 13:59:24.984,-1.453125,0.015625,-0.390625,upstairs
2016-05-06 13:59:24.994,-1.421875,0.09375,-0.421875,upstairs
2016-05-06 13:59:25.004,-1.4375,0.15625,-0.484375,upstairs
2016-05-06 13:59:25.013,-1.453125,0.15625,-0.5625,upstairs
2016-05-06 13:59:25.023,-1.46875,0.125,-0.65625,upstairs
2016-05-06 13:59:25.033,-1.515625,0.015625,-0.65625,upstairs
2016-05-06 13:59:25.043,-1.578125,-0.140625,-0.53125,upstairs
2016-05-06 13:59:25.053,-1.5625,-0.234375,-0.34375,upstairs
2016-05-06 13:59:25.063,-1.5,-0.28125,-0.09375,upstairs
2016-05-06 13:59:25.072,-1.375,-0.328125,0.171875,upstairs
2016-05-06 13:59:25.082,-1.3125,-0.34375,0.3125,upstairs
2016-05-06 13:59:25.092,-1.265625,-0.28125,0.328125,upstairs
2016-05-06 13:59:25.102,-1.25,-0.140625,0.328125,upstairs
2016-05-06 13:59:25.112,-1.234375,0.078125,0.40625,upstairs
2016-05-06 13:59:25.122,-1.171875,0.234375,0.46875,upstairs
2016-05-06 13:59:25.131,-1.0625,0.4375,0.390625,upstairs
2016-05-06 13:59:25.141,-0.90625,0.71875,-0.03125,upstairs
2016-05-06 13:59:25.151,-0.890625,0.625,-0.46875,upstairs
2016-05-06 13:59:25.161,-1.0625,0.359375,-0.65625,upstairs
2016-05-06 13:59:25.171,-1.078125,0.484375,-0.59375,upstairs
2016-05-06 13:59:25.181,-1.046875,0.34375,-0.390625,upstairs
2016-05-06 13:59:25.190,-0.859375,0.078125,-0.234375,upstairs
2016-05-06 13:59:25.200,-0.78125,-0.171875,-0.25,upstairs
2016-05-06 13:59:25.210,-0.78125,-0.203125,-0.234375,upstairs
2016-05-06 13:59:25.220,-0.640625,-0.125,-0.203125,upstairs
2016-05-06 13:59:25.230,-0.59375,0.015625,-0.171875,upstairs
2016-05-06 13:59:25.240,-0.546875,0.140625,-0.171875,upstairs
2016-05-06 13:59:25.250,-0.515625,0.15625,-0.203125,upstairs
2016-05-06 13:59:25.259,-0.453125,0.109375,-0.21875,upstairs
2016-05-06 13:59:25.269,-0.40625,0.109375,-0.234375,upstairs
2016-05-06 13:59:25.279,-0.390625,-0.015625,-0.265625,upstairs
2016-05-06 13:59:25.289,-0.359375,-0.0625,-0.3125,upstairs
2016-05-06 13:59:25.299,-0.3125,-0.109375,-0.328125,upstairs
2016-05-06 13:59:25.309,-0.265625,-0.1875,-0.34375,upstairs
2016-05-06 13:59:25.319,-0.234375,-0.234375,-0.34375,upstairs
2016-05-06 13:59:25.329,-0.171875,-0.28125,-0.375,upstairs
2016-05-06 13:59:25.339,-0.09375,-0.28125,-0.4375,upstairs
2016-05-06 13:59:25.349,-0.03125,-0.234375,-0.515625,upstairs
2016-05-06 13:59:25.359,-0.015625,-0.265625,-0.671875,upstairs
2016-05-06 13:59:25.368,-0.046875,-0.359375,-0.765625,upstairs
2016-05-06 13:59:25.378,-0.0625,-0.359375,-0.53125,upstairs
2016-05-06 13:59:25.388,-0.09375,-0.25,-0.046875,upstairs
2016-05-06 13:59:25.398,-0.171875,-0.09375,0.0625,upstairs
2016-05-06 13:59:25.408,-0.390625,0.046875,-0.625,upstairs
