time,x,y,z,class
2016-04-27 14:43:05.030,-1.75,0.078125,0.046875,walk_mod
2016-04-27 14:43:05.040,-1.78125,0.484375,0.109375,walk_mod
2016-04-27 14:43:05.050,-1.5625,0.375,0.1875,walk_mod
2016-04-27 14:43:05.059,-1.1875,0.171875,0.203125,walk_mod
2016-04-27 14:43:05.069,-0.859375,-0.078125,0.0625,walk_mod
2016-04-27 14:43:05.079,-0.703125,-0.3125,-0.03125,walk_mod
2016-04-27 14:43:05.089,-0.609375,-0.375,-0.078125,walk_mod
2016-04-27 14:43:05.098,-0.515625,-0.40625,-0.078125,walk_mod
2016-04-27 14:43:05.108,-0.4375,-0.5,-0.078125,walk_mod
2016-04-27 14:43:05.118,-0.4375,-0.546875,-0.046875,walk_mod
2016-04-27 14:43:05.128,-0.40625,-0.625,-0.015625,walk_mod
2016-04-27 14:43:05.138,-0.375,-0.625,0.015625,walk_mod
2016-04-27 14:43:05.147,-0.359375,-0.5625,0.015625,walk_mod
2016-04-27 14:43:05.157,-0.328125,-0.390625,0.046875,walk_mod
2016-04-27 14:43:05.167,-0.25,-0.390625,0.046875,walk_mod
2016-04-27 14:43:05.177,-0.21875,-0.28125,0.0,walk_mod
2016-04-27 14:43:05.186,-0.15625,-0.171875,-0.03125,walk_mod
2016-04-27 14:43:05.196,-0.09375,-0.0625,-0.046875,walk_mod
2016-04-27 14:43:05.206,0.03125,0.125,0.0,walk_mod
2016-04-27 14:43:05.216,0.25,0.421875,0.0625,walk_mod
2016-04-27 14:43:05.225,0.28125,0.46875,0.078125,walk_mod
2016-04-27 14:43:05.235,0.09375,0.296875,0.015625,walk_mod
2016-04-27 14:43:05.245,-0.03125,0.140625,-0.125,walk_mod
2016-04-27 14:43:05.255,-0.015625,-0.015625,-0.25,walk_mod
2016-04-27 14:43:05.264,0.125,-0.171875,-0.34375,walk_mod
2016-04-27 14:43:05.274,0.3125,-0.3125,-0.265625,walk_mod
2016-04-27 14:43:05.284,0.359375,-0.53125,-0.109375,walk_mod
2016-04-27 14:43:05.294,-0.921875,-0.8125,-0.453125,walk_mod
2016-04-27 14:43:05.303,-5.125,-1.359375,-2.171875,walk_mod
2016-04-27 14:43:05.313,-5.640625,-2.15625,-2.4375,walk_mod
2016-04-27 14:43:05.323,-3.09375,-0.0625,-1.65625,walk_mod
2016-04-27 14:43:05.333,-1.25,0.40625,-1.296875,walk_mod
2016-04-27 14:43:05.342,-0.390625,0.4375,-0.828125,walk_mod
2016-04-27 14:43:05.352,-0.15625,0.59375,-0.765625,walk_mod
2016-04-27 14:43:05.362,0.265625,0.84375,-0.34375,walk_mod
2016-04-27 14:43:05.371,0.046875,0.703125,0.015625,walk_mod
2016-04-27 14:43:05.381,-0.40625,0.328125,0.296875,walk_mod
2016-04-27 14:43:05.391,-0.9375,0.171875,0.125,walk_mod
2016-04-27 14:43:05.401,-1.953125,-0.359375,0.015625,walk_mod
2016-04-27 14:43:05.411,-3.671875,-1.671875,-0.28125,walk_mod
2016-04-27 14:43:05.420,-3.765625,-1.15625,-0.578125,walk_mod
2016-04-27 14:43:05.430,-1.71875,-0.5,-0.359375,walk_mod
2016-04-27 14:43:05.440,-0.40625,-0.21875,0.359375,walk_mod
2016-04-27 14:43:05.449,0.125,0.15625,0.40625,walk_mod
2016-04-27 14:43:05.459,0.4375,0.65625,0.375,walk_mod
2016-04-27 14:43:05.469,0.6875,0.796875,0.484375,walk_mod
2016-04-27 14:43:05.479,0.84375,0.921875,0.609375,walk_mod
2016-04-27 14:43:05.489,0.46875,0.828125,0.828125,walk_mod
2016-04-27 14:43:05.499,-0.53125,0.40625,0.59375,walk_mod
2016-04-27 14:43:05.508,-1.453125,0.046875,0.09375,walk_mod
2016-04-27 14:43:05.518,-2.546875,-0.3125,-0.171875,walk_mod
2016-04-27 14:43:05.528,-3.015625,-1.0,-0.046875,walk_mod
2016-04-27 14:43:05.538,-2.375,-1.515625,-0.0625,walk_mod
2016-04-27 14:43:05.548,-1.453125,-1.28125,-0.203125,walk_mod
2016-04-27 14:43:05.558,-0.9375,-0.765625,-0.140625,walk_mod
2016-04-27 14:43:05.567,-0.5,-0.453125,0.0,walk_mod
2016-04-27 14:43:05.577,-0.21875,-0.28125,0.234375,walk_mod
2016-04-27 14:43:05.587,-0.09375,-0.265625,0.359375,walk_mod
2016-04-27 14:43:05.597,0.0,-0.3125,0.28125,walk_mod
2016-04-27 14:43:05.607,-0.140625,-0.4375,0.234375,walk_mod
2016-04-27 14:43:05.617,-0.375,-0.578125,0.234375,walk_mod
2016-04-27 14:43:05.626,-0.59375,-0.671875,0.265625,walk_mod
2016-04-27 14:43:05.636,-0.828125,-0.765625,0.28125,walk_mod
2016-04-27 14:43:05.646,-1.109375,-0.875,0.25,walk_mod
2016-04-27 14:43:05.656,-1.28125,-0.984375,0.109375,walk_mod
2016-04-27 14:43:05.666,-1.203125,-0.59375,-0.046875,walk_mod
2016-04-27 14:43:05.676,-1.0625,-0.1875,-0.1875,walk_mod
2016-04-27 14:43:05.685,-0.984375,0.078125,-0.21875,walk_mod
2016-04-27 14:43:05.695,-0.890625,0.21875,-0.171875,walk_mod
2016-04-27 14:43:05.705,-0.78125,0.25,-0.125,walk_mod
2016-04-27 14:43:05.715,-0.765625,0.203125,-0.078125,walk_mod
2016-04-27 14:43:05.725,-0.859375,0.109375,-0.03125,walk_mod
2016-04-27 14:43:05.735,-0.96875,-0.109375,-0.046875,walk_mod
2016-04-27 14:43:05.744,-1.0,-0.375,-0.109375,walk_mod
2016-04-27 14:43:05.754,-0.90625,-0.46875,-0.09375,walk_mod
2016-04-27 14:43:05.764,-0.765625,-0.375,-0.0625,walk_mod
2016-04-27 14:43:05.774,-0.734375,-0.28125,-0.078125,walk_mod
2016-04-27 14:43:05.784,-0.8125,-0.28125,-0.03125,walk_mod
2016-04-27 14:43:05.794,-0.953125,-0.34375,-0.046875,walk_mod
2016-04-27 14:43:05.803,-1.0625,-0.484375,-0.140625,walk_mod
2016-04-27 14:43:05.813,-1.140625,-0.734375,-0.203125,walk_mod
2016-04-27 14:43:05.823,-1.171875,-0.921875,-0.21875,walk_mod
2016-04-27 14:43:05.833,-1.203125,-0.953125,-0.21875,walk_mod
2016-04-27 14:43:05.843,-1.25,-0.84375,-0.140625,walk_mod
2016-04-27 14:43:05.853,-1.3125,-0.703125,-0.078125,walk_mod
2016-04-27 14:43:05.862,-1.390625,-0.53125,-0.09375,walk_mod
2016-04-27 14:43:05.872,-1.484375,-0.515625,-0.125,walk_mod
2016-04-27 14:43:05.882,-1.546875,-0.59375,-0.125,walk_mod
2016-04-27 14:43:05.892,-1.53125,-0.703125,-0.09375,walk_mod
2016-04-27 14:43:05.902,-1.484375,-0.6875,-0.0625,walk_mod
2016-04-27 14:43:05.912,-1.3125,-0.625,-0.140625,walk_mod
2016-04-27 14:43:05.921,-1.125,-0.484375,-0.09375,walk_mod
2016-04-27 14:43:05.931,-1.078125,-0.359375,0.0625,walk_mod
2016-04-27 14:43:05.941,-1.28125,-0.25,0.265625,walk_mod
2016-04-27 14:43:05.951,-1.71875,-0.125,0.375,walk_mod
2016-04-27 14:43:05.961,-2.078125,0.3125,0.46875,walk_mod
2016-04-27 14:43:05.971,-1.90625,0.6875,0.5625,walk_mod
2016-04-27 14:43:05.980,-1.59375,0.53125,0.28125,walk_mod
2016-04-27 14:43:05.990,-1.453125,0.25,-0.046875,walk_mod
2016-04-27 14:43:06.000,-1.4375,-0.046875,-0.21875,walk_mod
2016-04-27 14:43:06.010,-1.453125,-0.390625,-0.21875,walk_mod
2016-04-27 14:43:06.020,-1.453125,-0.78125,-0.109375,walk_mod
2016-04-27 14:43:06.030,-1.625,-0.375,0.015625,walk_mod
2016-04-27 14:43:06.039,-1.78125,0.296875,0.0625,walk_mod
2016-04-27 14:43:06.049,-1.734375,0.5,0.140625,walk_mod
2016-04-27 14:43:06.059,-1.328125,0.359375,0.21875,walk_mod
2016-04-27 14:43:06.069,-0.984375,0.140625,0.140625,walk_mod
2016-04-27 14:43:06.079,-0.734375,-0.09375,-0.03125,walk_mod
2016-04-27 14:43:06.089,-0.609375,-0.1875,-0.140625,walk_mod
2016-04-27 14:43:06.098,-0.546875,-0.265625,-0.203125,walk_mod
2016-04-27 14:43:06.108,-0.453125,-0.34375,-0.15625,walk_mod
2016-04-27 14:43:06.118,-0.40625,-0.421875,-0.09375,walk_mod
2016-04-27 14:43:06.128,-0.375,-0.515625,-0.03125,walk_mod
2016-04-27 14:43:06.138,-0.328125,-0.609375,0.015625,walk_mod
2016-04-27 14:43:06.148,-0.328125,-0.578125,0.015625,walk_mod
2016-04-27 14:43:06.158,-0.359375,-0.4375,0.0,walk_mod
